adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/o76ZDm8PS9791XiuieNB93UZcRV.jpg,"[27, 28, 878]",460458,en,Resident Evil: Welcome to Raccoon City,"Once the booming home of pharmaceutical giant Umbrella Corporation, Raccoon City is now a dying Midwestern town. The company’s exodus left the city a wasteland…with great evil brewing below the surface. When that evil is unleashed, the townspeople are forever…changed…and a small group of survivors must work together to uncover the truth behind Umbrella and make it through the night.",1207.471,/7uRbWOXxpWDMtnsd2PF3clu65jc.jpg,2021-11-24,Resident Evil: Welcome to Raccoon City,False,6.2,1332
False,/5UANdP8xXHyVOGknfJlzQ7muLj3.jpg,[27],829358,en,Queen of Spades,"According to legend, an ominous entity known as the Queen of Spades can be summoned by performing an ancient ritual. Four teenagers summon the Queen of Spades, but they could never imagine the horrors that await them.",615.705,/4IKBzVBPLXu9p5cfEfdJjHdlafV.jpg,2021-06-11,Queen of Spades,False,6.4,37
False,/9fzNf2QcsHVvdx5g5QUOgAWpADw.jpg,"[18, 27, 9648]",516329,en,Antlers,"A small-town Oregon teacher and her brother, the local sheriff, discover a young student is harbouring a dangerous secret that could have frightening consequences.",532.218,/cMch3tiexw3FdOEeZxMWVel61Xg.jpg,2021-10-28,Antlers,False,6.4,556
False,/Aqp47Dbz8f1wnVU1qKvFFXQFROr.jpg,"[53, 27]",811072,es,Dos,"Two people, a man and a woman, wake up naked and with their abdomens attached to each other.",516.29,/5P7QwmoYl70tsRZ8e0VnI9RI1MF.jpg,2021-07-23,Two,False,5.4,209
False,/o2OSpKzXuB1edCDyVC2MXAxXwyJ.jpg,"[10749, 27, 53]",633802,ru,Приворот. Чёрное венчание,Terror strikes when a heartbroken woman uses black magic to get her husband back.,470.505,/2AbGdSGlU6CpiV3lswHUgE5CdAA.jpg,2021-02-11,Dark Spell,False,6.7,85
False,/39EQTf94Lckdo8yzS1CdWQSgmen.jpg,"[27, 9648, 53]",609972,en,Paranormal Activity: Next of Kin,"Margot, a documentary filmmaker, heads to a secluded Amish community in the hopes of learning about her long-lost mother and extended family. Following a string of strange occurrences and discoveries, she comes to realize this community may not be what it seems.",444.207,/bXAVveHiLotZbWdg3PKGhAzxYKP.jpg,2021-10-29,Paranormal Activity: Next of Kin,False,6.5,304
False,/5WnfgU7myfqgkbl3CSj7LQeHU0e.jpg,[27],895001,th,ปริศนารูหลอน,"When two siblings stumble on a strange hole in the wall of their grandparents’ house, horrifying incidents reveal sinister secrets about their family.",451.014,/bPq6x47nEqMZED5PrKelcWWpezM.jpg,2021-12-02,The Whole Truth,False,6.4,112
False,/qOnLuCJDFhRzbWzhpA4aoK75vfY.jpg,"[27, 878, 18, 53]",523936,fr,Méandre,"After getting a car ride from an unknown man, Lisa wakes up in a tube. On her arm is strapped a bracelet with a countdown. She quickly understands that every 8 minutes, fire burns an occupied section. She has no choice but to crawl into safe sections to survive. To know why she’s there and how to get out, Lisa will have to face the memories of her dead daughter…",408.291,/2OTIAx8AmwGCaXmq5ohQCyPUjdC.jpg,2021-05-26,Meander,False,6.1,218
False,/qi6Edc1OPcyENecGtz8TF0DUr9e.jpg,"[27, 9648, 53]",423108,en,The Conjuring: The Devil Made Me Do It,"Paranormal investigators Ed and Lorraine Warren encounter what would become one of the most sensational cases from their files. The fight for the soul of a young boy takes them beyond anything they'd ever seen before, to mark the first time in U.S. history that a murder suspect would claim demonic possession as a defense.",383.897,/xbSuFiJbbBWCkyCCKIMfuDCA4yV.jpg,2021-05-25,The Conjuring: The Devil Made Me Do It,False,7.7,4249
False,/vkojfC1xykW9XBCyDDCMYeHqLEf.jpg,"[27, 18]",775943,es,Llanto Maldito,"Sara and Óscar, a couple going through a marital crisis, decide to spend a week in a remote country cabin with their two children, Alicia and Tomás. The family tries to have a quiet time, but something strange happens there. There is a woman who prowls through the forest and cries uncontrollably looking for a baby she has just lost. This deeply affects the family who will have to stay together to survive this nightmare.",372.593,/iwlmZKndp7fIfHbxVzQtk9zby3A.jpg,2021-07-29,Tarumama,False,5.1,19
